Country,Indonesia
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,2
3/3/2020,2
3/4/2020,2
3/5/2020,2
3/6/2020,4
3/7/2020,4
3/8/2020,6
3/9/2020,19
3/10/2020,27
3/11/2020,34
3/12/2020,34
3/13/2020,69
3/14/2020,96
3/15/2020,117
3/16/2020,134
3/17/2020,172
3/18/2020,227
3/19/2020,311
3/20/2020,369
3/21/2020,450
3/22/2020,514
3/23/2020,579
3/24/2020,686
3/25/2020,790
3/26/2020,893
3/27/2020,1046
3/28/2020,1155
3/29/2020,1285
3/30/2020,1414
3/31/2020,1528
4/1/2020,1677
4/2/2020,1790
4/3/2020,1986
4/4/2020,2092
4/5/2020,2273
4/6/2020,2491
4/7/2020,2738
4/8/2020,2956
4/9/2020,3293
4/10/2020,3512
4/11/2020,3842
4/12/2020,4241
4/13/2020,4557
4/14/2020,4839
4/15/2020,5136
4/16/2020,5516
4/17/2020,5923
4/18/2020,6248
4/19/2020,6575
4/20/2020,6760
4/21/2020,7135
4/22/2020,7418
4/23/2020,7775
4/24/2020,8211
4/25/2020,8607
4/26/2020,8882
4/27/2020,9096
4/28/2020,9511
4/29/2020,9771
4/30/2020,10118
5/1/2020,10551
5/2/2020,10843
5/3/2020,11192
5/4/2020,11587
5/5/2020,12071
5/6/2020,12438
5/7/2020,12776
5/8/2020,13112
5/9/2020,13645
5/10/2020,14032
5/11/2020,14265
5/12/2020,14749
5/13/2020,15438
5/14/2020,16006
5/15/2020,16496
5/16/2020,17025
5/17/2020,17514
5/18/2020,18010
5/19/2020,18496
5/20/2020,19189
5/21/2020,20162
5/22/2020,20796
5/23/2020,21745
5/24/2020,22271
5/25/2020,22750
5/26/2020,23165
5/27/2020,23851
5/28/2020,24538
5/29/2020,25216
5/30/2020,25773
5/31/2020,26473
6/1/2020,26940
6/2/2020,27549
6/3/2020,28233
6/4/2020,28818
6/5/2020,29521
6/6/2020,30514
6/7/2020,31186
6/8/2020,32033
6/9/2020,33076
6/10/2020,34316
6/11/2020,35295
6/12/2020,36406
6/13/2020,37420
6/14/2020,38277
6/15/2020,39294
6/16/2020,40400
6/17/2020,41431
6/18/2020,42762
6/19/2020,43803
6/20/2020,45029
6/21/2020,45891
6/22/2020,46845
6/23/2020,47896
6/24/2020,49009
6/25/2020,50187
6/26/2020,51427
